surv_v2,junk_v2,surv_r2,junk_r2,surv_v6,junk_v6
0.9800348302027615,0.0,0.9800348302027615,0.0,0.9800348302027615,0.0
0.9699813780260708,0.0014842655877811426,0.9699813780260708,0.0014842655877811426,0.9699813780260708,0.0014842655877811426
0.970291146761735,0.00041160732661041366,0.970291146761735,0.00041160732661041366,0.970291146761735,0.00041160732661041366
0.8780920819031838,0.0025723824640140115,0.8780920819031838,0.0025723824640140115,0.8780920819031838,0.0025723824640140115
0.7844794467921629,0.0,0.7844794467921629,0.0,0.7844794467921629,0.0
0.9682800454947554,0.0017609250726381591,0.9682800454947554,0.0017609250726381591,0.9682800454947554,0.0017609250726381591
0.9808230123851378,0.0,0.9808230123851378,0.0,0.9808230123851378,0.0
0.9539045553145337,0.00011918951132300358,0.9539045553145337,0.00011918951132300358,0.9539045553145337,0.00011918951132300358
0.9601602023608768,0.0004409619755096503,0.9601602023608768,0.0004409619755096503,0.9601602023608768,0.0004409619755096503
0.96203132415757,9.587268107952639e-05,0.96203132415757,9.587268107952639e-05,0.96203132415757,9.587268107952639e-05
0.755056179775281,0.0,0.755056179775281,0.0,0.755056179775281,0.0
0.9685195178989027,0.0004246413297339925,0.9685195178989027,0.0004246413297339925,0.9685195178989027,0.0004246413297339925
0.9617762208942922,0.0,0.9617762208942922,0.0,0.9617762208942922,0.0
0.9455081001472754,0.00438382854359474,0.9455081001472754,0.00438382854359474,0.9455081001472754,0.00438382854359474
0.8772087067861716,0.005009087282237688,0.8772087067861716,0.005009087282237688,0.8772087067861716,0.005009087282237688
0.9660223048327138,3.244646333549643e-05,0.9660223048327138,3.244646333549643e-05,0.9660223048327138,3.244646333549643e-05
0.7733333333333333,0.004216073781291172,0.7733333333333333,0.004216073781291172,0.7733333333333333,0.004216073781291172
0.9633658614621661,5.3332385202040855e-05,0.9633658614621661,5.3332385202040855e-05,0.9633658614621661,5.3332385202040855e-05
0.964504738896116,0.0013313046785850132,0.964504738896116,0.0013313046785850132,0.964504738896116,0.0013313046785850132
0.9593938502280418,0.0001987500828125345,0.9593938502280418,0.0001987500828125345,0.9593938502280418,0.0001987500828125345
0.8119861531804413,0.00023344227306076168,0.8119861531804413,0.00023344227306076168,0.8119861531804413,0.00023344227306076168
0.9567809239940388,0.001309090909090909,0.9567809239940388,0.001309090909090909,0.9567809239940388,0.001309090909090909
0.7358490566037735,0.0,0.7358490566037735,0.0,0.7358490566037735,0.0
0.9505368098159509,0.0013403368954899475,0.9505368098159509,0.0013403368954899475,0.9505368098159509,0.0013403368954899475
0.8371936891574354,0.0008883848407522919,0.8371936891574354,0.0008883848407522919,0.8371936891574354,0.0008883848407522919
0.8623152709359606,0.0,0.8623152709359606,0.0,0.8623152709359606,0.0
0.9680974477958236,0.002410586904117676,0.9680974477958236,0.002410586904117676,0.9680974477958236,0.002410586904117676
0.8848605577689242,0.0018523456027841317,0.8848605577689242,0.0018523456027841317,0.8848605577689242,0.0018523456027841317
0.9574651118333015,0.00010252804874476375,0.9574651118333015,0.00010252804874476375,0.9574651118333015,0.00010252804874476375
0.9799420548250501,0.0,0.9799420548250501,0.0,0.9799420548250501,0.0
0.9716268120431173,0.00011269129347066645,0.9716268120431173,0.00011269129347066645,0.9716268120431173,0.00011269129347066645
0.9623407790289829,0.0005991868178900064,0.9623407790289829,0.0005991868178900064,0.9623407790289829,0.0005991868178900064
0.9679910578193273,0.001958245670820521,0.9679910578193273,0.001958245670820521,0.9679910578193273,0.001958245670820521
0.8643993321029968,0.0028247118967160557,0.8643993321029968,0.0028247118967160557,0.8643993321029968,0.0028247118967160557
