fold,epoch,loss,page_loss,f1_clean,f1_corrupt,page_acc,nonpage_acc_corrupt,train_s,imgs_per_s,lr_top
0,1,1.3116538413661591,1.4502738416194916,0.9570535254809404,0.9493468855104812,0.7586206896551724,0.9627586206896551,44,69,4e-05
0,2,0.5272415526449046,0.5940129844979807,0.9858866450969266,0.9815614241103565,0.896551724137931,0.9862068965517241,43,70,3.919796087756705e-05
0,3,0.5086313661267149,0.5997711623256857,0.9780463953841227,0.9746164193261274,0.7931034482758621,0.9848275862068966,43,70,3.685681995005739e-05
0,4,0.500846002369802,0.5065551190213724,0.9841676811300647,0.983090019620498,0.896551724137931,0.9875862068965517,43,69,3.316624253211665e-05
0,5,0.4884573058720599,0.45839047025550494,0.9797877272772822,0.9756513126131959,0.8275862068965517,0.9848275862068966,43,69,2.8425217257437355e-05
0,6,0.49708902352350826,0.4903023419055072,0.9812960746577865,0.979585734406114,0.7931034482758621,0.9889655172413793,43,70,2.3017833797811048e-05
0,7,0.4932410780419695,0.4645135836167769,0.9880454769101333,0.9872839821086608,0.8620689655172413,0.993103448275862,43,69,1.7382166202188958e-05
0,8,0.4817409636650948,0.43576566874980927,0.9864685802752385,0.9818439475629998,0.8275862068965517,0.9889655172413793,43,70,1.1974782742562651e-05
0,9,0.46801253899614864,0.4444790347055955,0.9841532979460766,0.9809687034988498,0.8275862068965517,0.9889655172413793,43,70,7.233757467883358e-06
0,10,0.4775716417885207,0.4485885683785785,0.9861127682513768,0.9829129195115811,0.8620689655172413,0.9889655172413793,43,69,3.54318004994261e-06
0,11,0.48287609663415465,0.44023230400952423,0.98825064679317,0.9829129195115811,0.8620689655172413,0.9889655172413793,43,70,1.2020391224329545e-06
