fold,epoch,loss,f1_clean,f1_testlike,f1_testlike_reweighted,page_acc,line_acc,train_s,imgs_per_s
1,1,1.3674266826599202,0.9397869410176548,0.9271018170917837,0.8980756781282724,0.7924528301886793,0.9572953736654805,33,92
1,2,0.6073011603761227,0.9707824492639426,0.9591541147116677,0.9190358341869985,0.7924528301886793,0.9804270462633452,33,92
1,3,0.5648516426061062,0.9714809523695755,0.9603735513705265,0.9209887756942462,0.7924528301886793,0.9839857651245552,34,90
1,4,0.5485104220978757,0.9726177637557102,0.9613351238310558,0.9138513653783075,0.7547169811320755,0.9857651245551602,34,90
1,5,0.530641035196629,0.9740069907063534,0.9635811908474784,0.9174513420323211,0.7735849056603774,0.9857651245551602,33,91
1,6,0.5088479217696698,0.9789224373517361,0.9669444371263342,0.9353596040585753,0.8301886792452831,0.9875444839857651,33,91
1,7,0.522961011909424,0.9784101709803833,0.9720651556836454,0.9440453695867942,0.8679245283018868,0.9893238434163701,33,92
1,8,0.526963343011572,0.9782341718406259,0.9685877102040429,0.9259318755556655,0.7924528301886793,0.9911032028469751,34,89
1,9,0.5063002883119786,0.9757658133674584,0.9615257763999752,0.9127900671493967,0.7547169811320755,0.9875444839857651,33,91
1,10,0.5133234928262994,0.9786774094836003,0.9638608758634037,0.9251004739448414,0.8113207547169812,0.9857651245551602,33,91
1,11,0.5222445544093213,0.9771841168839479,0.968031533582139,0.9290291598395797,0.8113207547169812,0.9875444839857651,33,90
1,12,0.5195700508799959,0.9773901234705246,0.9668992913198823,0.928532408715707,0.8113207547169812,0.9875444839857651,33,91
