fold,epoch,loss,f1_clean,f1_corrupt,train_s,imgs_per_s,lr_top
0,1,1.3452711682370369,0.9634072506418772,0.9520805831758778,25,121,4e-05
0,2,0.5596991146498538,0.9694199506406662,0.9606944181816035,25,122,3.921482167590975e-05
0,3,0.5361690285040978,0.9816543879317059,0.975118771177866,25,119,3.6889266974052585e-05
0,4,0.5181096253242898,0.9759030992053649,0.9666711626039949,25,120,3.321164711685013e-05
0,5,0.5101498466856936,0.9835277783395177,0.9739873990837866,25,119,2.8479900993485484e-05
0,6,0.503112717987375,0.9838510455457288,0.9721731324794433,25,119,2.3077366534095904e-05
0,7,0.5018690715127803,0.9852984770192129,0.9761897463205155,25,119,1.7441724950471555e-05
0,8,0.4917375973247467,0.9821182168906359,0.9716006248357437,25,119,1.2029542407266648e-05
0,9,0.4799155916305298,0.9879328228791341,0.9750308378253789,25,119,7.279281746642699e-06
0,10,0.49321161400764546,0.9849483795140186,0.9760603992572937,25,119,3.57578083643554e-06
0,11,0.4905851180566118,0.9866509804521696,0.9743774039134234,25,119,1.2190752948221385e-06
