fold,epoch,loss,f1_clean,f1_corrupt,train_s,imgs_per_s,lr_top
4,1,1.345459080439933,0.9515007571064815,0.9389861586766692,25,120,4e-05
4,2,0.565460297497029,0.9722904825695587,0.9670943301936957,25,119,3.921482167590975e-05
4,3,0.5314834595043608,0.9723277695561512,0.9657114408145706,25,119,3.6889266974052585e-05
4,4,0.5103965427013154,0.9727514348622839,0.9647789193067325,26,118,3.321164711685013e-05
4,5,0.5017251310513374,0.9697147527943777,0.9632614462465565,26,118,2.8479900993485484e-05
4,6,0.4930533346660594,0.9769424562321027,0.9693993950385041,25,118,2.3077366534095904e-05
4,7,0.4998500854411024,0.9792766327928157,0.9662414071399793,25,118,1.7441724950471555e-05
4,8,0.49100283596743927,0.9781286772245376,0.9682405144227026,25,118,1.2029542407266648e-05
4,9,0.48078614140444614,0.9752179199855876,0.9669289462279963,25,118,7.279281746642699e-06
4,10,0.48710576999694744,0.9773872033752292,0.9678960969179933,26,117,3.57578083643554e-06
