fold,best_epoch,f1_clean,f1_corrupt
0,7,0.9852984770192128,0.9761897463205156
1,11,0.9831731834110722,0.9731009282213334
2,8,0.9821863263701016,0.9755005519711476
3,11,0.9821030968574244,0.9733714157092684
4,6,0.9769424562321029,0.969399395038504
