epoch,loss,macro_f1,seconds,backbone_lr
1,1.6622582260119785,0.9366797842563203,373.90319110000564,3.368421052631579e-06
2,0.41108354675272785,0.9602051322811669,369.40414270000474,6.701754385964913e-06
3,0.08731725476209094,0.9677643414301557,380.3429560000077,1e-05
4,0.03136136397942773,0.9695177392541564,379.6374522999977,9.982167568285506e-06
5,0.01523762038954946,0.9728420093518212,376.44127879998996,9.928798756221158e-06
6,0.010670541842967923,0.9731058899095908,369.1370672000048,9.84027808732082e-06
7,0.0034824505792349996,0.9703872463864247,366.1697636000026,9.717243355032367e-06
8,0.0013655528119606688,0.9725520522696913,360.9132971000072,9.560581027421273e-06
9,0.002459375186250178,0.9764652301922607,363.7187139000016,9.371419860147882e-06
10,0.0008847783827242277,0.971607607281746,362.65460539999185,9.15112276375702e-06
11,0.0003604658448976227,0.9730736550687613,361.79807869999786,8.901276983876277e-06
12,0.0002959686706959567,0.9738850240243835,358.65337670000736,8.623682665074896e-06
13,0.00024602242295080994,0.9755279649569787,346.4816318999947,8.320339880780904e-06
14,0.0002141830144864738,0.9755279649569787,382.0481480999879,7.99343422270622e-06
15,0.0001860275797973346,0.9757151225265484,360.5531759000005,7.645321053608297e-06
16,0.00017661281179209831,0.9757151225265484,357.9271604999958,7.278508536847483e-06
17,0.0001593207522106116,0.9726065349559961,348.609766900001,6.895639565012528e-06
