alpha,oof_macro_f1,oof_accuracy,trio_class_macro_f1,positive_fold_count,mean_fold_delta,min_fold_delta,trio_fold_std
1.0,0.990647289721004,0.9894783971345422,0.9828359083890561,5,0.004530659127556747,0.0009575950040469072,0.007387630388149134
0.5,0.9899432064536959,0.988806805462279,0.9809391889546747,5,0.00382519018006644,0.0020149591550520096,0.005178031741175249
0.75,0.9897821917404641,0.9885829415715245,0.981018998509566,5,0.0036695500325187426,0.0021973657569577254,0.006323346811780563
0.25,0.9876430877338139,0.9861204387732259,0.9757738973500532,4,0.0015352565026528707,-0.0010683522522021427,0.00868376495767264
0.0,0.9861098225576945,0.9843295276471905,0.9717411515253621,0,0.0,0.0,0.004676813379894094
