fold,best_epoch,specialist_trio_macro_f1,specialist_trio_accuracy,n_train_trio,n_valid_trio
1,11,0.9870093321312834,0.9866071428571429,1790,448
2,10,0.9957905080604467,0.9955357142857143,1790,448
3,8,0.9819471955150946,0.9821428571428571,1790,448
4,5,0.9934948357977144,0.9932885906040269,1791,447
5,11,0.9763058015418135,0.9753914988814317,1791,447
