class,main_f1,v3_f1,delta
bali,0.998639455782313,0.998639455782313,0.0
jawa,0.9676910953506698,0.9836829836829837,0.01599188833231391
jawi,0.9719853836784409,0.9817518248175182,0.00976644113907732
lampung,0.9975728155339806,0.9975728155339806,0.0
lontara,0.9973753280839895,0.9973753280839895,0.0
pegon,0.9755469755469756,0.9830729166666666,0.007525941119691071
sunda,0.9939577039274925,0.9924357034795764,-0.001522000447916061
