fold,main_macro_f1,main_trio_class_macro_f1,main_accuracy,v3_macro_f1,v3_trio_class_macro_f1,v3_accuracy,macro_f1_delta,trio_f1_delta
1,0.9870412457140881,0.974466808428931,0.9854586129753915,0.9909897180341943,0.9836799105091788,0.9899328859060402,0.0039484723201062,0.009213102080247837
2,0.9859953649560869,0.9745778867102396,0.9843400447427293,0.9919844047267207,0.9885523128417185,0.9910514541387024,0.005989039770633808,0.013974426131478923
3,0.9877477548991536,0.9756992038143721,0.986562150055991,0.9887053499032005,0.9779335921571485,0.9876819708846585,0.0009575950040469072,0.002234388342776339
4,0.9864564778168504,0.9694054975847356,0.9843225083986562,0.9951341528951516,0.9909208332237118,0.9944008958566629,0.008677675078301195,0.02151533563897623
5,0.9833465040865071,0.9646072100225008,0.9809630459126539,0.9864270175512028,0.9730624656634895,0.9843225083986562,0.0030805134646956223,0.008455255640988701
