,bali,jawa,jawi,lampung,lontara,pegon,sunda
bali,367,0,0,0,0,0,0
jawa,1,633,4,4,0,6,5
jawi,0,0,807,0,0,4,3
lampung,0,0,0,822,0,0,0
lontara,0,0,2,0,380,0,0
pegon,0,0,16,0,0,755,0
sunda,0,1,1,0,0,0,656
