fold,epoch,train_loss,valid_macro_f1,valid_accuracy,backbone_lr,head_lr
2,1,1.248776311663196,0.893917077010518,0.8926174496644296,0.0002,0.0008
2,2,0.4095893857394351,0.9681737958696726,0.9653243847874721,0.00019870432382325864,0.0007948172952930346
2,3,0.33918871041809584,0.9815995232892597,0.9798657718120806,0.00019485263796156029,0.0007794105518462411
2,4,0.3092569680298005,0.9698329559117411,0.9653243847874721,0.00018855000636461646,0.0007542000254584659
2,5,0.2885296731444924,0.9804374642882576,0.9787472035794184,0.0001799683483926574,0.0007198733935706296
2,6,0.2826410239813143,0.9832764728170164,0.9821029082774049,0.0001693417493044454,0.0006773669972177817
2,7,0.2766689451308668,0.9834142749429667,0.9821029082774049,0.0001569600750216306,0.0006278403000865224
2,8,0.2796856830292245,0.9841223809925082,0.9832214765100671,0.00014316106534203213,0.0005726442613681285
2,9,0.2726926023707215,0.9859953649560869,0.9843400447427293,0.00012832112127837594,0.0005132844851135038
2,10,0.26697925281164325,0.982985996994959,0.9821029082774049,0.00011284503781987159,0.00045138015127948637
2,11,0.2649852369817872,0.9832218207739477,0.9821029082774049,9.715496218012844e-05,0.0003886198487205138
2,12,0.26889134881344956,0.9833361879202729,0.9821029082774049,8.167887872162408e-05,0.00032671551488649633
2,13,0.2641840026454034,0.9826448284581633,0.9821029082774049,6.683893465796792e-05,0.0002673557386318717
2,14,0.2617770271027018,0.9848757809125558,0.9843400447427293,5.303992497836946e-05,0.00021215969991347783
