fold,best_epoch,macro_f1,accuracy,n_train,n_valid
1,7,0.9870412457140881,0.9854586129753915,3573,894
2,9,0.9859953649560869,0.9843400447427293,3573,894
3,10,0.9877477548991536,0.986562150055991,3574,893
4,10,0.9864564778168504,0.9843225083986562,3574,893
5,11,0.9833465040865071,0.9809630459126539,3574,893
