fold,epoch,train_loss,valid_trio_macro_f1,valid_trio_accuracy,backbone_lr,head_lr
1,1,0.6583551939972286,0.9288196478165512,0.9263392857142857,0.0002,0.0008
1,2,0.2966228552370764,0.9478724006024309,0.9464285714285714,0.00019870432382325864,0.0007948172952930346
1,3,0.24359618432028998,0.9643418013246031,0.9642857142857143,0.00019485263796156029,0.0007794105518462411
1,4,0.21112941603420832,0.9663809890067608,0.9665178571428571,0.00018855000636461646,0.0007542000254584659
1,5,0.2006687730550766,0.9622140016288737,0.9620535714285714,0.0001799683483926574,0.0007198733935706296
1,6,0.19464473664427603,0.968647943253992,0.96875,0.0001693417493044454,0.0006773669972177817
1,7,0.19406997068634246,0.9820078193244224,0.9821428571428571,0.0001569600750216306,0.0006278403000865224
1,8,0.18366824378514424,0.9775926218900367,0.9776785714285714,0.00014316106534203213,0.0005726442613681285
1,9,0.18263257660346324,0.9804576742772338,0.9799107142857143,0.00012832112127837594,0.0005132844851135038
1,10,0.182493850272461,0.980040364355275,0.9799107142857143,0.00011284503781987159,0.00045138015127948637
1,11,0.1788480781143604,0.9870093321312834,0.9866071428571429,9.715496218012844e-05,0.0003886198487205138
1,12,0.174668116343088,0.9824222289338568,0.9821428571428571,8.167887872162408e-05,0.00032671551488649633
1,13,0.17517249933834184,0.9731349273650602,0.9732142857142857,6.683893465796792e-05,0.0002673557386318717
1,14,0.17375602487412245,0.9637589089604347,0.9642857142857143,5.303992497836946e-05,0.00021215969991347783
1,15,0.17622287769557377,0.9755104101521784,0.9754464285714286,4.065825069555462e-05,0.0001626330027822185
1,16,0.17341224408016526,0.9779447617572435,0.9776785714285714,3.0031651607342625e-05,0.0001201266064293705
