,bali,jawa,jawi,lampung,lontara,pegon,sunda
bali,367,0,0,0,0,0,0
jawa,1,614,16,4,0,13,5
jawi,0,2,798,0,0,11,3
lampung,0,0,0,822,0,0,0
lontara,0,0,1,0,380,1,0
pegon,0,0,13,0,0,758,0
sunda,0,0,0,0,0,0,658
