,bali,jawa,jawi,lampung,lontara,pegon,sunda
bali,366,0,1,0,0,0,0
jawa,1,615,18,4,0,9,6
jawi,2,1,799,0,0,10,2
lampung,0,0,0,822,0,0,0
lontara,0,0,2,0,380,0,0
pegon,0,0,15,0,0,756,0
sunda,0,0,4,0,0,0,654
