fold,best_epoch,macro_f1,accuracy,n_train,n_valid
1,11,0.987756439929407,0.9865771812080537,3573,894
2,8,0.9853421623530689,0.9843400447427293,3573,894
3,17,0.9884409232429626,0.9876819708846585,3574,893
4,7,0.9819653501265421,0.9787234042553191,3574,893
5,12,0.9811537756176801,0.9787234042553191,3574,893
