fold,epoch,train_loss,valid_macro_f1,valid_accuracy,backbone_lr,head_lr
3,1,1.2329934168342245,0.9001736551363165,0.9014557670772676,0.0002,0.0008
3,2,0.41306359926681646,0.984577762956017,0.9820828667413214,0.00019870432382325864,0.0007948172952930346
3,3,0.33084187201767845,0.9786721205262029,0.9764837625979843,0.00019485263796156029,0.0007794105518462411
3,4,0.3063829648774899,0.9773389463034804,0.9742441209406495,0.00018855000636461646,0.0007542000254584659
3,5,0.29487585149200923,0.9728892187855795,0.975363941769317,0.0001799683483926574,0.0007198733935706296
3,6,0.2817930949588161,0.9842845851745318,0.9820828667413214,0.0001693417493044454,0.0006773669972177817
3,7,0.2754494571358916,0.9868728450622911,0.9843225083986562,0.0001569600750216306,0.0006278403000865224
3,8,0.2718716233251611,0.9817433436001831,0.9798432250839866,0.00014316106534203213,0.0005726442613681285
3,9,0.2685299515724182,0.9812330881845466,0.9798432250839866,0.00012832112127837594,0.0005132844851135038
3,10,0.26719835285508037,0.9833051339554826,0.9820828667413214,0.00011284503781987159,0.00045138015127948637
3,11,0.26899623112032783,0.9867085201701092,0.9854423292273237,9.715496218012844e-05,0.0003886198487205138
3,12,0.26277098154714806,0.9873216303567754,0.986562150055991,8.167887872162408e-05,0.00032671551488649633
3,13,0.2654406269402496,0.9822000208623215,0.9809630459126539,6.683893465796792e-05,0.0002673557386318717
3,14,0.26355165048024476,0.9845961474305699,0.9832026875699889,5.303992497836946e-05,0.00021215969991347783
3,15,0.2618528781620297,0.9867073226007091,0.9854423292273237,4.065825069555462e-05,0.0001626330027822185
3,16,0.26308630931357396,0.9856617637693402,0.9843225083986562,3.0031651607342625e-05,0.0001201266064293705
3,17,0.26109155005226603,0.9884409232429626,0.9876819708846585,2.144999363538355e-05,8.57999745415342e-05
3,18,0.2614749776763361,0.985725374178027,0.9843225083986562,1.5147362038439711e-05,6.0589448153758846e-05
3,19,0.26123283240604345,0.9835748855799055,0.9820828667413214,1.129567617674138e-05,4.518270470696552e-05
3,20,0.2609243299384723,0.981411516079407,0.9798432250839866,1e-05,4e-05
