public_frac,qB,q_rest,mean,sd,z
0.3,0.5,0.0,-0.024847284845388604,0.010537665851675081,0.04529322262697588
0.3,0.5,0.1,-0.019945468398298388,0.012478557957668439,-0.3545707458114269
0.3,0.5,0.2,-0.015342749978643799,0.011037347253367453,-0.8178822151855396
0.3,0.5,0.3,-0.01060191274839424,0.012772524442079053,-1.077945657026643
0.3,0.5,0.4,-0.005194559759804097,0.012263269048078696,-1.5636483359386257
0.3,0.5,0.5,0.0023409539415575613,0.01206061778789166,-2.2147251833462636
0.3,0.5,0.6,0.0072862467861280165,0.01152529428051925,-2.7466757911453357
0.5,0.5,0.0,-0.025417763226527456,0.007970527229703078,0.13145469506996277
0.5,0.5,0.1,-0.021086639318761726,0.008445114375539764,-0.3887881839407797
0.5,0.5,0.2,-0.015092207488035858,0.009008167159104944,-1.0299312110995498
0.5,0.5,0.3,-0.010455063282581657,0.008895337626084064,-1.5642955110118768
0.5,0.5,0.4,-0.004675522480004828,0.009753110118465799,-2.0193022821209765
0.5,0.5,0.5,0.0024362018052440544,0.008491189936037402,-3.156942902840512
0.5,0.5,0.6,0.006946224735829738,0.009031606504388421,-3.467403581036587
1.0,0.5,0.0,-0.026472929837243742,0.004688200304493881,0.44855801814354507
1.0,0.5,0.1,-0.020702904522825288,0.005360992388253066,-0.6840329572580638
1.0,0.5,0.2,-0.01518428372348974,0.005987961961088325,-1.534030499225272
1.0,0.5,0.3,-0.009434188479468131,0.006149764936293785,-2.428680067491016
1.0,0.5,0.4,-0.004254810458101702,0.006956535507456995,-2.8915527736954707
1.0,0.5,0.5,0.0025019268577037832,0.006202687924632737,-4.332303540693591
1.0,0.5,0.6,0.007447758997447987,0.00639013876696653,-4.979196877840609
