public_frac,q,mean,sd,z
0.3,0.0,-0.027696833839367985,0.007167168656764101,4.291350645186913
0.3,0.1,-0.020708368492198925,0.007767937038901177,3.059804472303134
0.3,0.2,-0.01533661671682419,0.009407838982854784,1.9554561627118585
0.3,0.3,-0.009501706462686197,0.009293276570144124,1.3516983345833478
0.3,0.4,-0.004976685616157528,0.009097728953288092,0.8833727249318611
0.3,0.5,0.0011239567785122418,0.009493075108299059,0.20394268447273617
0.3,0.6,0.0069428963504372734,0.008107994506808793,-0.47889725963387103
0.3,0.7,0.013766722189055346,0.009292960483035398,-1.1521325425412874
0.3,0.8,0.01807427567968106,0.009055441216268367,-1.6580391083216803
0.3,0.9,0.025166705329536607,0.0071290456602908624,-3.100934736983379
0.3,1.0,0.03153337866135202,0.008734214973198543,-3.2599814349342457
0.5,0.0,-0.027424049488130774,0.004952454484922037,6.155341675716729
0.5,0.1,-0.021771698658722603,0.005984038177141326,4.149655788223126
0.5,0.2,-0.015321764969766689,0.006478497715942047,2.837349919030393
0.5,0.3,-0.010774920930386442,0.006114325544325438,2.2627059730613084
0.5,0.4,-0.004070839416837421,0.007335846665870902,0.97205404387919
0.5,0.5,0.0022206717136827644,0.007236594771981109,0.11598387263123228
0.5,0.6,0.007258810461453345,0.006948872114293711,-0.6042434502163886
0.5,0.7,0.013365482796732069,0.005852212480386491,-1.7609549945888863
0.5,0.8,0.019192969991551966,0.006115663357086602,-2.637975481900524
0.5,0.9,0.024235979269844596,0.0062270881171339575,-3.400623031425941
0.5,1.0,0.030712183780130024,0.004880390056801098,-5.66597822270273
1.0,0.0,-0.027343269681064993,0.0017568753276820085,17.305308579396247
1.0,0.1,-0.02172722372842872,0.0033323920075613873,7.438267668445117
1.0,0.2,-0.016181418990189933,0.0045124259318920085,4.2640963598315045
1.0,0.3,-0.009867913392008041,0.0047109339120022615,2.7442357786151637
1.0,0.4,-0.003913631243021062,0.004852589696243165,1.4370947637341054
1.0,0.5,0.001839842760934433,0.004776811156319023,0.2554334260108943
1.0,0.6,0.006941924224780301,0.004945386431789701,-0.7849587243226606
1.0,0.7,0.01299031076115623,0.004599112539072135,-2.1591797714868695
1.0,0.8,0.018630533406172486,0.0037037300427703963,-4.204014122618299
1.0,0.9,0.02454321484208539,0.002751540067344815,-7.807705618045473
1.0,1.0,0.030437170367722876,0.0001288731978133289,-212.4349425035474
