w_v5,acc,f1,vs_v5,ci_lo,ci_hi
0.0,0.8090452261306532,0.7914294940637651,-0.05527638190954774,-0.0975340306275648,-0.01020408163265306
0.1,0.8140703517587939,0.7990370824512728,-0.05025125628140704,-0.08846348884381339,-0.009875384090133152
0.2,0.8090452261306532,0.79490231990232,-0.05527638190954774,-0.09405940594059406,-0.015151515151515152
0.3,0.8190954773869347,0.810102693841522,-0.04522613065326633,-0.07920792079207921,-0.009659727408513818
0.4,0.8190954773869347,0.8090863397254376,-0.04522613065326633,-0.07855674342105262,-0.014630925185608228
0.5,0.8291457286432161,0.8175454368776657,-0.035175879396984924,-0.06767247886473429,-0.0049621939805920895
0.6,0.8492462311557789,0.8411915166906093,-0.01507537688442211,-0.03798094210715569,0.004890602582496412
0.7,0.8542713567839196,0.8454532994518321,-0.010050251256281407,-0.031088082901554404,0.005250068889501239
0.8,0.8542713567839196,0.842960303872087,-0.010050251256281407,-0.026185581140350876,0.0
0.9,0.8592964824120602,0.8457354870353441,-0.005025125628140704,-0.017518028846153843,0.0
1.0,0.864321608040201,0.8502365230978419,0.0,0.0,0.0
