tag,epoch,loss,train_s,imgs_per_s,f1_clean,f1_corrupt
cv_s7_f2,1,1.348031757993901,23,130,0.9547515548780998,0.949338678979485
cv_s7_f2,2,0.563674529974765,23,130,0.9762873208588188,0.9578584706051114
cv_s7_f2,3,0.5300609279186168,23,130,0.9697619378440946,0.96266516516572
cv_s7_f2,4,0.5188907627412613,23,129,0.9725499086010967,0.9704270360468227
cv_s7_f2,5,0.5005934783752929,23,130,0.9755165535192333,0.9667661285868093
cv_s7_f2,6,0.4872610110868799,24,127,0.9774485062666086,0.9733277916352855
cv_s7_f2,7,0.49205140230503486,23,130,0.9860320007191173,0.9771527709742845
cv_s7_f2,8,0.4821921369813858,24,128,0.9840029459224798,0.9745034886545662
cv_s7_f2,9,0.4852772347153501,23,130,0.9857171558401155,0.9822745918879155
cv_s7_f2,10,0.4972333424585931,23,129,0.9834475235034307,0.9796459779693938
cv_s7_f2,11,0.49472999794686096,23,131,0.9832037701428865,0.9810309079716316
cv_s7_f2,12,0.4810544379214023,23,130,0.9817969091375564,0.9779751015221689
