tag,epoch,loss,train_s,imgs_per_s,f1_clean,f1_corrupt
cv_s2026_f1,1,1.3347836269977245,23,128,0.9616821504244066,0.9569522972918284
cv_s2026_f1,2,0.5637630791740215,23,130,0.9746006533442656,0.9611881283376504
cv_s2026_f1,3,0.5265513872529598,23,129,0.9750805971133287,0.9593771233990657
cv_s2026_f1,4,0.5102423404125457,23,129,0.9740352613131625,0.9638329513484221
cv_s2026_f1,5,0.5077631584507354,23,130,0.9789937345268263,0.9617450638128402
cv_s2026_f1,6,0.5024062333271858,24,128,0.9810518191053249,0.9652813682115841
cv_s2026_f1,7,0.48575825814871076,23,131,0.9777258246171109,0.966553170359192
cv_s2026_f1,8,0.49040696579725185,23,131,0.9791776349944611,0.9703638149716951
cv_s2026_f1,9,0.48773784222120936,23,129,0.9791776349944611,0.9685201394503034
cv_s2026_f1,10,0.4833414822499803,23,129,0.9806539033006159,0.9707610354405963
cv_s2026_f1,11,0.48174219150492487,23,129,0.9806539033006159,0.9707610354405963
cv_s2026_f1,12,0.5020524215825061,23,130,0.9791776349944611,0.9707610354405963
