tag,epoch,loss,train_s,imgs_per_s
full_s11,1,1.2535134415677254,28,132
full_s11,2,0.5518108168815045,28,133
full_s11,3,0.5222403313251252,28,132
full_s11,4,0.504056412108401,28,133
full_s11,5,0.5110212342536196,29,132
full_s11,6,0.503296605196405,29,132
full_s11,7,0.4836186324028259,28,132
