tag,epoch,loss,train_s,imgs_per_s
full_s23,1,1.251112289504802,28,133
full_s23,2,0.5479221510126235,28,132
full_s23,3,0.5222032339014906,28,132
full_s23,4,0.5100404621438778,29,132
full_s23,5,0.49090417293792077,28,132
full_s23,6,0.49609090203934525,28,133
full_s23,7,0.48441020821003206,28,132
