,train_%,v2_pred_%,EM_%,EM_CI,BBSE_%,BBSE_CI
bali,10.501193317422434,8.688524590163935,8.41874320722612,6.9-10.1,8.714097358035827,7.3-10.5
jawa,18.64226995491912,18.934426229508198,19.449874195323865,17.0-21.9,18.970900333165638,16.6-21.4
jawi,20.710686820472024,13.77049180327869,11.763106013755365,10.1-13.8,12.471413292286329,10.7-14.4
lampung,13.391673296207902,18.770491803278688,19.087688539373264,16.7-21.4,18.857107956928782,16.5-21.1
lontara,10.713338636966322,9.508196721311474,9.397361410803583,7.7-11.0,9.405801741245881,7.8-10.9
pegon,8.194112967382656,16.9672131147541,19.18917873185126,16.8-21.5,18.08407691112017,15.8-20.3
sunda,17.84672500662954,13.360655737704919,12.694047901666504,10.8-14.6,13.496602407217376,11.5-15.5
