feature,test_med,clean_med,corrupt_med,test_p90,clean_p90,corrupt_p90,KS_clean,KS_corrupt,setting,auc_clean,auc_corrupt
ink_p5,28.0,0.0,17.0,212.0,144.3,124.1,0.41,0.182,v4_round2_bars_shift,0.8805871584699454,0.7169737704918032
ink_med,36.0,1.0,25.0,87.0,25.0,60.0,0.581,0.174,v4_round2_bars_shift,0.8805871584699454,0.7169737704918032
sharp,26.176,39.841,20.424,162.634,106.371,68.535,0.185,0.218,v4_round2_bars_shift,0.8805871584699454,0.7169737704918032
midtone,0.098,0.067,0.098,0.243,0.124,0.243,0.318,0.061,v4_round2_bars_shift,0.8805871584699454,0.7169737704918032
ink_frac,0.12,0.131,0.132,0.277,0.226,0.234,0.146,0.162,v4_round2_bars_shift,0.8805871584699454,0.7169737704918032
speckle,0.112,0.066,0.111,1.145,0.334,1.093,0.255,0.042,v4_round2_bars_shift,0.8805871584699454,0.7169737704918032
gray_flat,0.009,0.004,0.008,0.051,0.012,0.037,0.317,0.133,v4_round2_bars_shift,0.8805871584699454,0.7169737704918032
