feature,test_med,clean_med,corrupt_med,test_p90,clean_p90,corrupt_p90,KS_clean,KS_corrupt,setting,auc_clean,auc_corrupt
ink_p5,27.0,0.0,24.0,210.0,140.0,125.2,0.394,0.158,v1_initial,0.8850800546448088,0.7637704918032787
ink_med,36.0,1.0,36.0,86.0,25.0,68.0,0.57,0.105,v1_initial,0.8850800546448088,0.7637704918032787
sharp,26.22,39.918,16.449,159.945,105.338,62.851,0.184,0.236,v1_initial,0.8850800546448088,0.7637704918032787
midtone,0.098,0.067,0.117,0.237,0.124,0.276,0.32,0.111,v1_initial,0.8850800546448088,0.7637704918032787
ink_frac,0.121,0.132,0.134,0.288,0.226,0.237,0.135,0.154,v1_initial,0.8850800546448088,0.7637704918032787
speckle,0.114,0.066,0.11,1.148,0.351,1.1,0.26,0.057,v1_initial,0.8850800546448088,0.7637704918032787
gray_flat,0.008,0.004,0.011,0.051,0.012,0.06,0.309,0.159,v1_initial,0.8850800546448088,0.7637704918032787
