feature,test_med,clean_med,corrupt_med,test_p90,clean_p90,corrupt_p90,KS_clean,KS_corrupt,setting,auc_clean,auc_corrupt
ink_p5,27.0,0.0,20.0,210.0,140.0,128.0,0.394,0.162,v2_lighter_blur,0.8850800546448088,0.735784699453552
ink_med,36.0,1.0,29.0,86.0,25.0,63.0,0.57,0.152,v2_lighter_blur,0.8850800546448088,0.735784699453552
sharp,26.22,39.918,18.107,159.945,105.338,63.495,0.184,0.236,v2_lighter_blur,0.8850800546448088,0.735784699453552
midtone,0.098,0.067,0.104,0.237,0.124,0.238,0.32,0.083,v2_lighter_blur,0.8850800546448088,0.735784699453552
ink_frac,0.121,0.132,0.132,0.288,0.226,0.225,0.135,0.149,v2_lighter_blur,0.8850800546448088,0.735784699453552
speckle,0.114,0.066,0.116,1.148,0.351,1.174,0.26,0.038,v2_lighter_blur,0.8850800546448088,0.735784699453552
gray_flat,0.008,0.004,0.009,0.051,0.012,0.037,0.309,0.147,v2_lighter_blur,0.8850800546448088,0.735784699453552
